index,id,link,discussion,total number of votes,sum of all voting power,timestamp when it reaches half of the voting power,UTC time,number of voters at half of the voting power,ratio,number of discussions,HHI length weighted,HHI equal weighted,Support,Professionalism,Objectiveness,Unanimity
61,0x456ccb438eed5d189cbe51e5e36a88d2bb4dc0c61f12f6d9e310a7ba4798d5fc,https://snapshot.box/#/s:ens.eth/proposal/0x456ccb438eed5d189cbe51e5e36a88d2bb4dc0c61f12f6d9e310a7ba4798d5fc,https://discuss.ens.domains/t/ep5-x-social-determine-ens-labs-next-steps-in-eth-link-litigation/18756,452,1169135.4087574189,1708534680,2024-02-21 16:58:00,5,0.011061946902654867,20,0.20060072668277434,0.16,,,,
62,0xd42e261f9bf298bb5a793ee230a5f1a164db6c47e9656aaa83cf2ad4c4798832,https://snapshot.box/#/s:ens.eth/proposal/0xd42e261f9bf298bb5a793ee230a5f1a164db6c47e9656aaa83cf2ad4c4798832,https://discuss.ens.domains/t/metagovernance-working-group-steward-nominations-term-6-calendar-2025/19910,0,0.0,,,,,9,0.16376972777911614,0.18518518518518517,0.1066901969263184,0.06754467825424477,0.0019267269433106225,1.892512790770867e-05
63,0xb33e76201100b32a09f8aa367ad564e910f45b845318715439fee7e4978efd6b,https://snapshot.box/#/s:ens.eth/proposal/0xb33e76201100b32a09f8aa367ad564e910f45b845318715439fee7e4978efd6b,https://discuss.ens.domains/t/public-goods-working-group-steward-nominations-term-6-calendar-2025/19912,0,0.0,,,,,6,0.1774447940996163,0.16666666666666666,0.9399103101541406,0.9999483117398842,0.99849852983591,0.0420479224686049
64,0x4a1aedbd9d22295f358dc4028b5a3f0a602bb5f1089dabdc2b63bf2bcce45834,https://snapshot.box/#/s:ens.eth/proposal/0x4a1aedbd9d22295f358dc4028b5a3f0a602bb5f1089dabdc2b63bf2bcce45834,https://discuss.ens.domains/t/rfp-ens-endowment/14069,862,2639656.7964992514,1662760330,2022-09-09 21:52:10,7,0.008120649651972157,11,0.2721443466763643,0.2727272727272727,,,,
65,0x1ab7ef84f6e904582d5b5b921944b5b1a8e36dbff1f1248fde87fef02b046816,https://snapshot.box/#/s:ens.eth/proposal/0x1ab7ef84f6e904582d5b5b921944b5b1a8e36dbff1f1248fde87fef02b046816,https://discuss.ens.domains/t/social-ep2-2-5-selection-of-an-ens-endowment-fund-manager/15188,1496,3064877.4178591208,1669115026,2022-11-22 11:03:46,9,0.006016042780748663,20,0.17812082281865735,0.205,,,,
66,0xa1a41a0a1d0588502cd8a3e0c1d0d6e0ad82b2c7af21a1a4999ff7f617a01ac9,https://snapshot.box/#/s:ens.eth/proposal/0xa1a41a0a1d0588502cd8a3e0c1d0d6e0ad82b2c7af21a1a4999ff7f617a01ac9,https://discuss.ens.domains/t/steward-nominations-ens-ecosystem-wg-q3-q4-2023-term/17228/9,529,1803289.3939626089,1686642945,2023-06-13 07:55:45,6,0.011342155009451797,0,,,,,,
67,0x3585235855fd484251e01820c8cbf3e69174c0176496823b7b54be7a6b68b86c,https://snapshot.box/#/s:ens.eth/proposal/0x3585235855fd484251e01820c8cbf3e69174c0176496823b7b54be7a6b68b86c,https://discuss.ens.domains/t/steward-nominations-meta-governance-wg-q3-q4-2023-term/17227/,547,1916657.3790210886,1686670941,2023-06-13 15:42:21,7,0.012797074954296161,8,0.20328574151182394,0.15625,,,,
68,0xe2435d6d84f3a1cfc49a3579a2e613a0dc59b5ede9b1d3f62328777894e845bd,https://snapshot.box/#/s:ens.eth/proposal/0xe2435d6d84f3a1cfc49a3579a2e613a0dc59b5ede9b1d3f62328777894e845bd,https://discuss.ens.domains/t/steward-nominations-public-goods-wg-q3-q4-2023-term/17226/,532,1808073.7177408156,1686670700,2023-06-13 15:38:20,6,0.011278195488721804,10,0.12153762832130505,0.12,,,,
69,0xa0b1bfadf6853b5b0d59d3c4d73c434fc6389339887d05de805361372eb17c3a,https://snapshot.box/#/s:ens.eth/proposal/0xa0b1bfadf6853b5b0d59d3c4d73c434fc6389339887d05de805361372eb17c3a,https://discuss.ens.domains/t/temp-check-enable-cancel-role-on-the-dao/19090,25,245834.26152696932,1718586319,2024-06-17 01:05:19,1,0.04,20,0.1633048491436427,0.12,,,,
70,0xf3a4673fe04a3ecfed4a2f066f6ced1539a5466d61630428333360b843653c54,https://snapshot.box/#/s:ens.eth/proposal/0xf3a4673fe04a3ecfed4a2f066f6ced1539a5466d61630428333360b843653c54,https://discuss.ens.domains/t/temp-check-enable-cancel-role-on-the-dao/19090,244,1361929.77083815,1715010587,2024-05-06 15:49:47,5,0.020491803278688523,20,0.1633048491436427,0.12,,,,
71,0x5067725bef9cde0de0024adedb653a7a1752aefa726adf628b77048d85821a6d,https://snapshot.box/#/s:ens.eth/proposal/0x5067725bef9cde0de0024adedb653a7a1752aefa726adf628b77048d85821a6d,https://discuss.ens.domains/t/temp-check-governance-security-compensating-blockful-for-preventing-a-potential-attack-on-the-ens-dao/19710,0,0.0,,,,,20,0.16349361508921684,0.105,,,,
72,0x085a1e40c264ffd44567b6dce889f5943e72cfa8442eaeb81819261a38f0bd0a,https://snapshot.box/#/s:ens.eth/proposal/0x085a1e40c264ffd44567b6dce889f5943e72cfa8442eaeb81819261a38f0bd0a,https://discuss.ens.domains/t/temp-check-proposal-for-introduction-of-ens-investment-policy-statement/19568/,0,0.0,,,,,19,0.28673102619972995,0.22437673130193905,0.9992896085475726,0.9999633307373339,0.9994462862160901,0.6508013495245243
73,0x5748982aed143f51333befbc6cc490116648b85a2b0212fdfaf3ab848932c7ae,https://snapshot.box/#/s:ens.eth/proposal/0x5748982aed143f51333befbc6cc490116648b85a2b0212fdfaf3ab848932c7ae,https://discuss.ens.domains/t/temp-check-proposal-for-new-service-provider-streams/18044?u=avsa,608,1524269.386198193,1699283411,2023-11-06 15:10:11,5,0.008223684210526315,20,0.19925725163202185,0.105,0.9999753699393249,0.9999528412540086,0.9668701092248606,0.7772802589651222
74,0xca27ce450e2a404b51d7ec7979639561dc5d8302949b3a29e4dfef2a8993f018,https://snapshot.box/#/s:ens.eth/proposal/0xca27ce450e2a404b51d7ec7979639561dc5d8302949b3a29e4dfef2a8993f018,https://discuss.ens.domains/t/temp-check-social-adding-proposalbond-to-ens-governor-to-make-proposing-more-accessible/19539?u=estmcmxci,0,0.0,,,,,20,0.25771034985247226,0.17,0.0017007210003152724,0.7309673390885169,0.13289645337996847,1.4738978128956415e-05
75,0x7618fde568697109bfd69d95ef83e2c23d4acdbf82e1cc541b4f4ef2f55c0e61,https://snapshot.box/#/s:ens.eth/proposal/0x7618fde568697109bfd69d95ef83e2c23d4acdbf82e1cc541b4f4ef2f55c0e61,https://discuss.ens.domains/t/term-5-meta-governance-working-group-special-election/19814,0,0.0,,,,,9,0.29374690047266755,0.18518518518518517,,,,
76,0x26a5c8dec547837495707e70446d1e7cd874a91f75753c602998f6e70083a266,https://snapshot.box/#/s:ens.eth/proposal/0x26a5c8dec547837495707e70446d1e7cd874a91f75753c602998f6e70083a266,https://github.com/ensdomains/governance-docs/pull/44/files,656,1511146.8547007684,1699276541,2023-11-06 13:15:41,5,0.007621951219512195,0,,,,,,
